library,deviceset,device,value
SparkFun-Aesthetics,OSHW-LOGO,S,OSHW-LOGOS
SparkFun-IC-Power,MCP73831,,
SparkFun-Hardware,STAND-OFF,,
SparkFun-Hardware,STAND-OFF,,
SparkFun-Hardware,STAND-OFF,,
SparkFun-Hardware,STAND-OFF,,
SparkFun-Resistors,2.2KOHM,-0402T-1/16W-1%,2.2k
SparkFun-Capacitors,4.7UF,-0402_TIGHT-6.3V-20%-X5R,4.7uF
SparkFun-Capacitors,4.7UF,-0402_TIGHT-6.3V-20%-X5R,4.7uF
SparkFun-LED,LED-YELLOW,0603,Yellow
SparkFun-Resistors,1KOHM,-0402T-1/16W-1%,1k
SparkFun-Aesthetics,FIDUCIAL,1X2,
SparkFun-Aesthetics,FIDUCIAL,1X2,
SparkFun-Aesthetics,FIDUCIAL,1X2,
SparkFun-Aesthetics,FIDUCIAL,1X2,
SparkFun-PowerSymbols,V_BATT,,
SparkFun-PowerSymbols,GND,,
SparkFun-Clocks,CRYSTAL-32.768KHZ,SMD-3.2X1.5,32.768kHz
SparkFun-Capacitors,15PF,-0402T-50V-5%,15pF
SparkFun-Capacitors,15PF,-0402T-50V-5%,15pF
SparkFun-PowerSymbols,GND,,
SparkFun-Capacitors,0.1UF,-0402T-16V-10%,0.1uF
SparkFun-Capacitors,10UF,-0402T-6.3V-20%,10uF
SparkFun-Capacitors,1.0UF,-0402T-16V-10%,1.0uF
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-IC-Microcontroller,ARTEMIS_MODULE,SMD,ARTEMIS_MODULE
SparkFun-Resistors,1KOHM,-0402T-1/16W-1%,1k
SparkFun-LED,LED-RED,0603,RED
SparkFun-PowerSymbols,3.3V,,
SparkFun-Resistors,1KOHM,-0402T-1/16W-1%,1k
SparkFun-LED,LED-BLUE,0603,BLUE
SparkFun-PowerSymbols,GND,,
SparkFun-Switches,MOMENTARY-SWITCH-SPST,-SMD-4.6X2.8MM,RESET
SparkFun-Capacitors,10NF,-0402T-25V-10%,10nF
SparkFun-LED,LED-YELLOW,0603,Yellow
SparkFun-Resistors,1KOHM,-0402T-1/16W-1%,1k
SparkFun-Capacitors,0.1UF,-0402T-16V-10%,0.1uF
SparkFun-Resistors,1KOHM,-0402T-1/16W-1%,1k
SparkFun-LED,LED-GREEN,0603,GREEN
SparkFun-Resistors,5.1KOHM,-0402T-1/16W-1%,5.1k
SparkFun-Resistors,5.1KOHM,-0402T-1/16W-1%,5.1k
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-IC-Comms,CH340E,_MSOP10,CH340E
SparkFun-Resistors,100KOHM,-0402T-1/16W-1%,100k
SparkFun-Capacitors,0.1UF,-0402T-16V-10%,0.1uF
SparkFun-PowerSymbols,GND,,
SparkFun-Resistors,220KOHM,-0402T-1/16W-1%,220KOHM-0402T-1/16W-1%
SparkFun-Capacitors,0.1UF,-0402T-16V-10%,0.1uF
SparkFun-Capacitors,1.0NF/1000PF,-0402_TIGHT-50V-10%,1.0nF
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,5V,,
SparkFun-Connectors,CORTEX_JTAG_DEBUG_MINIMUM,_PTH,CORTEX_JTAG
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-Capacitors,0.1UF,-0402T-16V-10%,0.1uF
SparkFun-PowerSymbols,GND,,
SparkFun-Sensors,ICM-20948,,9DoF IMU
SparkFun-Capacitors,0.1UF,-0402T-16V-10%,0.1uF
SparkFun-Capacitors,0.1UF,-0402T-16V-10%,0.1uF
